S,ID,E,N,RTK_true,depth_begin_cm,depth_end_cm,thickness,N,OC,pH,%CF,%sand,%silt,%clay,BD_f,BD_m,CaCO3_true,c_root %,f_root %,t_root%
4,B1,523630.902,4777565.58,1,0,5,0.05,0.10,0.97,NaN,41,NaN,NaN,NaN,NaN,1043,1,1.55,0.31,1.86
4,B2,523630.902,4777565.58,1,5,0,0.05,0.10,0.99,NaN,35,NaN,NaN,NaN,NaN,1037,1,0.39,0.11,0.51
4,B3,523630.902,4777565.58,1,10,20,0.1,0.13,1.07,NaN,31,NaN,NaN,NaN,NaN,1011,1,0.47,0.15,0.62
4,B4,523630.902,4777565.58,1,20,30,0.1,0.13,0.94,NaN,37,NaN,NaN,NaN,NaN,1051,1,0.46,0.09,0.55
4,C1,523646.061,4777580.065,1,0,5,0.05,0.21,2.60,NaN,23,NaN,NaN,NaN,NaN,757,1,6.25,0.94,7.19
4,C2,523646.061,4777580.065,1,5,0,0.05,0.13,1.55,NaN,38,NaN,NaN,NaN,NaN,896,1,0.75,0.54,1.29
4,C3,523646.061,4777580.065,1,10,20,0.1,0.12,1.12,NaN,28,NaN,NaN,NaN,NaN,994,1,0.59,0.28,0.87
4,C4,523646.061,4777580.065,1,20,30,0.1,0.12,1.17,NaN,33,NaN,NaN,NaN,NaN,982,1,0.49,0.14,0.63
4,D1,523646.366,4777580.275,1,0,5,0.05,0.06,0.62,NaN,54,NaN,NaN,NaN,NaN,1206,1,0.69,0.28,0.97
4,D2,523646.366,4777580.275,1,5,0,0.05,0.14,1.29,NaN,31,NaN,NaN,NaN,NaN,950,1,0.58,0.15,0.73
4,D3,523646.366,4777580.275,1,10,20,0.1,0.13,1.19,NaN,35,NaN,NaN,NaN,NaN,976,1,0.68,0.09,0.77
4,D4,523646.366,4777580.275,1,20,30,0.1,0.11,0.95,NaN,46,NaN,NaN,NaN,NaN,1050,1,0.42,0.11,0.54
4,E1,523632.491,4777557.426,1,0,5,0.05,0.09,0.90,NaN,58,NaN,NaN,NaN,NaN,1066,1,0.63,0.07,0.70
4,E2,523632.491,4777557.426,1,5,0,0.05,0.10,1.03,NaN,37,NaN,NaN,NaN,NaN,1022,1,0.63,0.28,0.91
4,E3,523632.491,4777557.426,1,10,20,0.1,0.13,1.05,NaN,37,NaN,NaN,NaN,NaN,1016,1,0.39,0.10,0.49
4,E4,523632.491,4777557.426,1,20,30,0.1,0.11,1.00,NaN,56,NaN,NaN,NaN,NaN,1033,1,0.44,0.05,0.49
4,F1,523632.174,4777557.573,1,0,5,0.05,0.16,2.27,NaN,22,NaN,NaN,NaN,NaN,791,1,1.66,1.05,2.71
4,F2,523632.174,4777557.573,1,5,0,0.05,0.09,0.99,NaN,21,NaN,NaN,NaN,NaN,1034,1,0.61,0.14,0.74
4,F3,523632.174,4777557.573,1,10,20,0.1,0.09,0.87,NaN,45,NaN,NaN,NaN,NaN,1080,1,0.35,0.06,0.41
4,F4,523632.174,4777557.573,1,20,30,0.1,0.10,0.94,NaN,49,NaN,NaN,NaN,NaN,1054,1,0.29,0.05,0.34
4,G1,523616.957,4777569.131,1,0,5,0.05,0.11,1.21,NaN,69,NaN,NaN,NaN,NaN,970,1,1.57,0.14,1.71
4,G2,523616.957,4777569.131,1,5,0,0.05,0.07,0.71,NaN,28,NaN,NaN,NaN,NaN,1155,1,0.46,0.16,0.63
4,G3,523616.957,4777569.131,1,10,20,0.1,0.07,0.75,NaN,32,NaN,NaN,NaN,NaN,1135,1,0.33,0.08,0.41
4,G4,523616.957,4777569.131,1,20,30,0.1,0.09,0.65,NaN,29,NaN,NaN,NaN,NaN,1184,1,0.42,0.07,0.48
4,H1,523616.579,4777570.133,1,0,5,0.05,0.10,0.85,NaN,22,NaN,NaN,NaN,NaN,1087,1,0.98,0.30,1.28
4,H2,523616.579,4777570.133,1,5,0,0.05,0.09,0.81,NaN,22,NaN,NaN,NaN,NaN,1107,1,0.55,0.12,0.67
4,H3,523616.579,4777570.133,1,10,20,0.1,0.08,0.68,NaN,28,NaN,NaN,NaN,NaN,1170,1,0.35,0.09,0.44
4,H4,523616.579,4777570.133,1,20,30,0.1,0.10,0.67,NaN,29,NaN,NaN,NaN,NaN,1173,1,0.47,0.02,0.49
4,I1,523631.359,4777584.204,1,0,5,0.05,0.22,2.66,NaN,36,NaN,NaN,NaN,NaN,752,1,1.68,1.22,2.89
4,I2,523631.359,4777584.204,1,5,0,0.05,0.12,1.13,NaN,34,NaN,NaN,NaN,NaN,993,1,0.56,0.33,0.90
4,I3,523631.359,4777584.204,1,10,20,0.1,0.13,1.13,NaN,42,NaN,NaN,NaN,NaN,991,1,0.39,0.11,0.50
4,I4,523631.359,4777584.204,1,20,30,0.1,0.11,0.90,NaN,39,NaN,NaN,NaN,NaN,1066,1,0.58,0.04,0.62
4,J1,523630.024,4777583.524,1,0,5,0.05,0.12,1.26,NaN,47,NaN,NaN,NaN,NaN,957,1,0.89,0.69,1.58
4,J2,523630.024,4777583.524,1,5,0,0.05,0.12,1.28,NaN,27,NaN,NaN,NaN,NaN,954,1,0.57,0.50,1.07
4,J3,523630.024,4777583.524,1,10,20,0.1,0.10,1.00,NaN,29,NaN,NaN,NaN,NaN,1031,1,0.57,0.10,0.67
4,J4,523630.024,4777583.524,1,20,30,0.1,0.10,0.88,NaN,34,NaN,NaN,NaN,NaN,1078,1,0.57,0.07,0.65
5,A1A,523701.416,4778334.233,1,0,5,0.05,0.17,1.48,6.84,12,0.29,0.58,0.13,1005,910,0,1.41,0.52,1.93
5,A2A,523701.416,4778334.233,1,5,0,0.05,0.13,1.23,6.92,45,0.25,0.60,0.15,1005,966,0,0.20,0.34,0.54
5,A3A,523701.416,4778334.233,1,10,20,0.1,0.14,1.24,6.99,60,0.24,0.59,0.17,NaN,962,0,0.02,0.12,0.15
5,A4A,523701.416,4778334.233,1,20,30,0.1,0.14,0.96,6.81,46,NaN,NaN,NaN,NaN,1047,0,0.26,0.23,0.49
5,A1B,523701.416,4778334.233,1,0,5,0.05,0.14,1.33,NaN,15,NaN,NaN,NaN,1031,940,0,1.85,0.54,2.39
5,A2B,523701.416,4778334.233,1,5,0,0.05,0.14,1.33,NaN,12,NaN,NaN,NaN,1031,940,0,1.18,0.66,1.84
5,A3B,523701.416,4778334.233,1,10,20,0.1,0.14,1.25,NaN,35,NaN,NaN,NaN,NaN,961,0,0.11,0.16,0.27
5,A4B,523701.416,4778334.233,1,20,30,0.1,0.18,1.30,NaN,69,NaN,NaN,NaN,NaN,949,0,0.04,0.11,0.15
5,A1C,523701.416,4778334.233,1,0,5,0.05,0.17,1.56,NaN,43,NaN,NaN,NaN,750,894,0,4.07,1.24,5.31
5,A2C,523701.416,4778334.233,1,5,0,0.05,0.14,1.29,NaN,43,NaN,NaN,NaN,750,950,0,0.44,0.80,1.24
5,A3C,523701.416,4778334.233,1,10,20,0.1,0.12,1.18,NaN,42,NaN,NaN,NaN,NaN,979,0,0.21,0.10,0.31
5,A4C,523701.416,4778334.233,1,20,30,0.1,0.15,1.21,NaN,55,NaN,NaN,NaN,NaN,970,0,0.14,0.19,0.33
5,B1,523704.69,4778334.678,1,0,5,0.05,0.22,2.01,NaN,23,NaN,NaN,NaN,NaN,823,0,1.92,0.85,2.77
5,B2,523704.69,4778334.678,1,5,0,0.05,0.18,1.46,NaN,23,NaN,NaN,NaN,NaN,914,0,0.88,0.60,1.47
5,B3,523704.69,4778334.678,1,10,20,0.1,0.11,1.00,NaN,19,NaN,NaN,NaN,NaN,1033,0,0.74,0.27,1.01
5,B4,523704.69,4778334.678,1,20,30,0.1,0.12,0.98,NaN,25,NaN,NaN,NaN,NaN,1040,0,0.54,0.21,0.75
5,C1,523717.869,4778345.931,1,0,5,0.05,0.19,2.23,NaN,10,NaN,NaN,NaN,NaN,796,0,1.69,0.75,2.44
5,C2,523717.869,4778345.931,1,5,0,0.05,0.14,1.37,NaN,21,NaN,NaN,NaN,NaN,932,0,0.94,0.48,1.41
5,C3,523717.869,4778345.931,1,10,20,0.1,0.14,1.14,NaN,17,NaN,NaN,NaN,NaN,988,0,0.77,0.38,1.16
5,C4,523717.869,4778345.931,1,20,30,0.1,0.14,1.00,NaN,45,NaN,NaN,NaN,NaN,1031,0,0.50,0.14,0.64
5,D1,523718.368,4778344.115,1,0,5,0.05,0.20,1.76,NaN,22,NaN,NaN,NaN,NaN,860,0,3.66,0.75,4.42
5,D2,523718.368,4778344.115,1,5,0,0.05,0.12,0.94,NaN,18,NaN,NaN,NaN,NaN,1051,0,0.57,0.17,0.74
5,D3,523718.368,4778344.115,1,10,20,0.1,0.10,0.87,NaN,22,NaN,NaN,NaN,NaN,1079,0,0.78,0.10,0.88
5,D4,523718.368,4778344.115,1,20,30,0.1,0.11,0.83,NaN,32,NaN,NaN,NaN,NaN,1094,0,0.73,0.07,0.80
5,E1,523701.013,4778315.456,1,0,5,0.05,0.14,1.40,NaN,18,NaN,NaN,NaN,NaN,925,0,0.85,0.57,1.42
5,E2,523701.013,4778315.456,1,5,0,0.05,0.12,1.30,NaN,34,NaN,NaN,NaN,NaN,949,0,1.02,0.36,1.38
5,E3,523701.013,4778315.456,1,10,20,0.1,0.13,1.27,NaN,55,NaN,NaN,NaN,NaN,954,0,0.21,0.25,0.46
5,E4,523701.013,4778315.456,1,20,30,0.1,0.12,1.14,NaN,51,NaN,NaN,NaN,NaN,990,0,0.36,0.07,0.43
5,F1,523701.521,4778315.603,1,0,5,0.05,0.14,1.66,NaN,21,NaN,NaN,NaN,NaN,875,0,3.41,0.86,4.28
5,F2,523701.521,4778315.603,1,5,0,0.05,0.11,1.22,NaN,24,NaN,NaN,NaN,NaN,968,0,0.90,0.23,1.13
5,F3,523701.521,4778315.603,1,10,20,0.1,0.12,1.08,NaN,32,NaN,NaN,NaN,NaN,1007,0,0.53,0.10,0.62
5,F4,523701.521,4778315.603,1,20,30,0.1,0.11,1.00,NaN,54,NaN,NaN,NaN,NaN,1033,0,0.49,0.01,0.50
5,G1,523690.511,4778333.438,1,0,5,0.05,0.15,1.80,NaN,19,NaN,NaN,NaN,NaN,854,0,1.87,0.44,2.31
5,G2,523690.511,4778333.438,1,5,0,0.05,0.13,1.49,NaN,22,NaN,NaN,NaN,NaN,907,0,1.48,0.21,1.69
5,G3,523690.511,4778333.438,1,10,20,0.1,0.11,1.03,NaN,24,NaN,NaN,NaN,NaN,1022,0,0.68,0.10,0.79
5,G4,523690.511,4778333.438,1,20,30,0.1,0.10,0.89,NaN,29,NaN,NaN,NaN,NaN,1071,0,0.44,0.09,0.53
5,H1,523691.044,4778333.424,1,0,5,0.05,0.24,2.87,NaN,10,NaN,NaN,NaN,NaN,734,0,7.04,1.51,8.55
5,H2,523691.044,4778333.424,1,5,0,0.05,0.15,1.60,NaN,24,NaN,NaN,NaN,NaN,886,0,1.49,0.46,1.96
5,H3,523691.044,4778333.424,1,10,20,0.1,0.12,0.98,NaN,19,NaN,NaN,NaN,NaN,1039,0,0.56,0.35,0.91
5,H4,523691.044,4778333.424,1,20,30,0.1,0.10,0.84,NaN,25,NaN,NaN,NaN,NaN,1093,0,0.47,0.08,0.55
5,I1,523702.578,4778341.695,1,0,5,0.05,0.17,1.60,NaN,13,NaN,NaN,NaN,NaN,887,0,3.65,1.09,4.74
5,I2,523702.578,4778341.695,1,5,0,0.05,0.16,1.29,NaN,16,NaN,NaN,NaN,NaN,950,0,0.83,0.85,1.68
5,I3,523702.578,4778341.695,1,10,20,0.1,0.10,1.03,NaN,24,NaN,NaN,NaN,NaN,1023,0,0.50,0.42,0.92
5,I4,523702.578,4778341.695,1,20,30,0.1,0.13,1.01,NaN,43,NaN,NaN,NaN,NaN,1029,0,0.63,0.10,0.74
5,J1,523701.724,4778341.814,1,0,5,0.05,0.18,1.97,NaN,20,NaN,NaN,NaN,NaN,828,0,10.73,0.68,11.41
5,J2,523701.724,4778341.814,1,5,0,0.05,0.15,1.67,NaN,22,NaN,NaN,NaN,NaN,874,0,1.13,0.55,1.68
5,J3,523701.724,4778341.814,1,10,20,0.1,0.13,1.11,NaN,16,NaN,NaN,NaN,NaN,997,0,0.53,0.12,0.66
5,J4,523701.724,4778341.814,1,20,30,0.1,0.12,1.06,NaN,31,NaN,NaN,NaN,NaN,1012,0,0.44,0.14,0.58
6,A1A,520967.216,4770142.375,1,0,5,0.05,0.20,2.35,6.20,28,0.31,0.55,0.14,944,1250,0,1.27,0.54,1.81
6,A2A,520967.216,4770142.375,1,5,0,0.05,0.19,2.26,6.00,43,0.28,0.54,0.18,944,1257,0,0.96,0.41,1.37
6,A3A,520967.216,4770142.375,1,10,20,0.1,0.17,2.01,6.05,37,0.27,0.53,0.20,1058,1278,0,0.09,0.28,0.37
6,A4A,520967.216,4770142.375,1,20,30,0.1,0.15,1.51,6.14,36,0.25,0.44,0.31,NaN,1333,0,0.20,0.12,0.32
6,A5A,520967.216,4770142.375,1,30,40,0.1,NaN,NaN,5.88,61,NaN,NaN,NaN,NaN,NaN,0,0.07,NaN,NaN
6,A6A,520967.216,4770142.375,1,40,50,0.1,NaN,NaN,6.04,62,NaN,NaN,NaN,NaN,NaN,0,0.02,NaN,NaN
6,A1B,520967.216,4770142.375,1,0,5,0.05,0.18,2.21,NaN,20,NaN,NaN,NaN,NaN,1261,0,1.08,0.87,1.96
6,A2B,520967.216,4770142.375,1,5,0,0.05,0.20,2.38,NaN,41,NaN,NaN,NaN,NaN,1247,0,0.41,NaN,NaN
6,A3B,520967.216,4770142.375,1,10,20,0.1,0.22,2.08,NaN,37,NaN,NaN,NaN,NaN,1273,0,0.13,0.19,0.32
6,A4B,520967.216,4770142.375,1,20,30,0.1,0.13,1.40,NaN,51,NaN,NaN,NaN,NaN,1349,0,0.52,NaN,NaN
6,A5B,520967.216,4770142.375,1,30,40,0.1,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,0,0.05,NaN,NaN
6,A6B,520967.216,4770142.375,1,40,50,0.1,0.09,0.67,NaN,40,NaN,NaN,NaN,NaN,1504,0,0.02,NaN,NaN
6,A1C,520967.216,4770142.375,1,0,5,0.05,0.29,3.91,NaN,34,NaN,NaN,NaN,NaN,1159,0,2.33,1.12,3.45
6,A2C,520967.216,4770142.375,1,5,0,0.05,0.21,2.42,NaN,34,NaN,NaN,NaN,NaN,1244,0,0.17,0.76,0.94
6,A3C,520967.216,4770142.375,1,10,20,0.1,0.17,1.97,NaN,46,NaN,NaN,NaN,NaN,1282,0,0.06,0.39,0.45
6,A4C,520967.216,4770142.375,1,20,30,0.1,0.12,1.35,NaN,31,NaN,NaN,NaN,NaN,1356,0,0.07,0.10,0.17
6,A5C,520967.216,4770142.375,1,30,40,0.1,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,0,0.48,NaN,NaN
6,A6C,520967.216,4770142.375,1,40,50,0.1,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,0,0.03,NaN,NaN
6,B1,520966.092,4770145.289,1,0,5,0.05,0.27,4.08,NaN,49,NaN,NaN,NaN,NaN,1152,0,0.28,2.08,2.36
6,B2,520966.092,4770145.289,1,5,0,0.05,0.16,2.08,NaN,27,NaN,NaN,NaN,NaN,1272,0,0.08,1.50,1.58
6,B3,520966.092,4770145.289,1,10,20,0.1,0.12,1.32,NaN,55,NaN,NaN,NaN,NaN,1361,0,0.08,0.43,0.51
6,B4,520966.092,4770145.289,1,20,30,0.1,0.07,0.76,NaN,22,NaN,NaN,NaN,NaN,1476,0,0.03,0.35,0.38
6,C1,520975.017,4770141.461,1,0,5,0.05,0.07,0.89,NaN,38,NaN,NaN,NaN,NaN,1443,0,0.37,0.31,0.68
6,C2,520975.017,4770141.461,1,5,0,0.05,0.11,0.98,NaN,50,NaN,NaN,NaN,NaN,1423,0,NaN,0.54,NaN
6,C3,520975.017,4770141.461,1,10,20,0.1,0.10,1.37,NaN,34,NaN,NaN,NaN,NaN,1353,0,0.08,0.39,0.47
6,C4,520975.017,4770141.461,1,20,30,0.1,0.12,0.93,NaN,34,NaN,NaN,NaN,NaN,1433,0,0.05,0.06,0.11
6,D1,520974.831,4770143.519,1,0,5,0.05,0.19,2.60,NaN,44,NaN,NaN,NaN,NaN,1231,0,0.08,0.36,0.44
6,D2,520974.831,4770143.519,1,5,0,0.05,0.15,1.62,NaN,40,NaN,NaN,NaN,NaN,1320,0,0.07,0.52,0.59
6,D3,520974.831,4770143.519,1,10,20,0.1,0.09,1.06,NaN,42,NaN,NaN,NaN,NaN,1406,0,0.02,0.33,0.35
6,D4,520974.831,4770143.519,1,20,30,0.1,0.08,0.90,NaN,37,NaN,NaN,NaN,NaN,1441,0,0.12,0.02,0.14
6,E1,520983.044,4770123.408,1,0,5,0.05,0.32,4.06,NaN,54,NaN,NaN,NaN,NaN,1152,0,1.04,0.86,1.90
6,E2,520983.044,4770123.408,1,5,0,0.05,0.22,3.04,NaN,40,NaN,NaN,NaN,NaN,1203,0,0.73,0.66,1.39
6,E3,520983.044,4770123.408,1,10,20,0.1,0.22,2.71,NaN,30,NaN,NaN,NaN,NaN,1223,0,0.13,0.29,0.42
6,E4,520983.044,4770123.408,1,20,30,0.1,0.23,2.87,NaN,40,NaN,NaN,NaN,NaN,1213,0,0.03,0.36,0.39
6,F1,520987.174,4770126.185,1,0,5,0.05,0.28,3.45,NaN,39,NaN,NaN,NaN,NaN,1180,0,0.03,0.70,0.73
6,F2,520987.174,4770126.185,1,5,0,0.05,0.26,3.36,NaN,45,NaN,NaN,NaN,NaN,1185,0,0.02,0.43,0.45
6,F3,520987.174,4770126.185,1,10,20,0.1,0.21,2.58,NaN,33,NaN,NaN,NaN,NaN,1232,0,0.06,0.22,0.27
6,F4,520987.174,4770126.185,1,20,30,0.1,0.21,1.69,NaN,45,NaN,NaN,NaN,NaN,1312,0,0.01,0.07,0.08
6,G1,520966.405,4770127.348,1,0,5,0.05,0.15,1.94,NaN,48,NaN,NaN,NaN,NaN,1286,0,0.72,0.52,1.24
6,G2,520966.405,4770127.348,1,5,0,0.05,0.15,1.75,NaN,37,NaN,NaN,NaN,NaN,1305,0,1.51,0.51,2.02
6,G3,520966.405,4770127.348,1,10,20,0.1,0.07,1.10,NaN,36,NaN,NaN,NaN,NaN,1397,0,0.50,0.06,0.56
6,G4,520966.405,4770127.348,1,20,30,0.1,0.07,0.76,NaN,33,NaN,NaN,NaN,NaN,1477,0,0.56,0.11,0.67
6,H1,520966.082,4770125.032,1,0,5,0.05,0.18,2.37,NaN,46,NaN,NaN,NaN,NaN,1248,0,0.51,1.00,1.51
6,H2,520966.082,4770125.032,1,5,0,0.05,0.23,2.82,NaN,74,NaN,NaN,NaN,NaN,1216,0,0.08,1.68,1.76
6,H3,520966.082,4770125.032,1,10,20,0.1,0.15,1.64,NaN,39,NaN,NaN,NaN,NaN,1318,0,0.14,0.32,0.46
6,H4,520966.082,4770125.032,1,20,30,0.1,0.10,1.03,NaN,36,NaN,NaN,NaN,NaN,1411,0,0.19,0.16,0.35
6,I1,520949.137,4770156.613,1,0,5,0.05,0.22,2.85,NaN,35,NaN,NaN,NaN,NaN,1214,0,0.04,0.57,0.61
6,I2,520949.137,4770156.613,1,5,0,0.05,0.16,2.35,NaN,37,NaN,NaN,NaN,NaN,1250,0,0.28,0.34,0.62
6,I3,520949.137,4770156.613,1,10,20,0.1,0.20,1.85,NaN,45,NaN,NaN,NaN,NaN,1295,0,0.16,0.44,0.59
6,I4,520949.137,4770156.613,1,20,30,0.1,0.13,1.44,NaN,65,NaN,NaN,NaN,NaN,1343,0,0.05,0.11,0.16
6,J1,520946.7,4770159.893,1,0,5,0.05,0.57,9.45,NaN,8,NaN,NaN,NaN,NaN,1017,0,3.34,9.62,12.96
6,J2,520946.7,4770159.893,1,5,0,0.05,0.34,5.35,NaN,73,NaN,NaN,NaN,NaN,1106,0,0.09,4.29,4.39
6,J3,520946.7,4770159.893,1,10,20,0.1,0.21,2.26,NaN,52,NaN,NaN,NaN,NaN,1257,0,0.15,1.52,1.67
6,J4,520946.7,4770159.893,1,20,30,0.1,0.22,2.50,NaN,72,NaN,NaN,NaN,NaN,1238,0,0.12,2.61,2.73
7,A1A,522927.552,4782231.439,1,0,5,0.05,0.05,0.34,7.55,43,NaN,NaN,NaN,1819,1461,1,0.48,0.22,0.70
7,A2A,522927.552,4782231.439,1,5,0,0.05,0.03,0.27,7.79,43,NaN,NaN,NaN,1819,1581,1,0.46,0.07,0.53
7,A3A,522927.552,4782231.439,1,10,20,0.1,0.03,0.26,7.81,52,0.55,0.41,0.04,1646,1601,1,0.34,0.07,0.41
7,A4A,522927.552,4782231.439,1,20,30,0.1,0.05,0.14,7.93,22,NaN,NaN,NaN,NaN,1957,1,0.33,0.04,0.37
7,A5A,522927.552,4782231.439,1,30,40,0.1,NaN,NaN,8.09,14,NaN,NaN,NaN,NaN,NaN,1,0.34,0.06,0.40
7,A6A,522927.552,4782231.439,1,40,50,0.1,0.05,0.22,8.20,38,NaN,NaN,NaN,NaN,1515,1,0.36,0.02,0.38
7,A1B,522927.552,4782231.439,1,0,5,0.05,0.05,0.35,NaN,26,NaN,NaN,NaN,1473,1451,1,0.45,NaN,NaN
7,A2B,522927.552,4782231.439,1,5,0,0.05,0.04,0.30,NaN,69,NaN,NaN,NaN,1473,1522,1,1.53,NaN,NaN
7,A3B,522927.552,4782231.439,1,10,20,0.1,0.02,0.21,NaN,27,NaN,NaN,NaN,1607,1719,1,0.36,NaN,NaN
7,A4B,522927.552,4782231.439,1,20,30,0.1,0.06,0.29,NaN,24,NaN,NaN,NaN,NaN,1539,1,0.48,NaN,NaN
7,A5B,522927.552,4782231.439,1,30,40,0.1,0.06,NaN,NaN,34,NaN,NaN,NaN,NaN,1557,1,0.44,0.03,0.47
7,A6B,522927.552,4782231.439,1,40,50,0.1,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,1,0.33,0.00,0.33
7,A1C,522927.552,4782231.439,1,0,5,0.05,0.03,0.33,NaN,26,NaN,NaN,NaN,1436,1481,1,0.85,NaN,NaN
7,A2C,522927.552,4782231.439,1,5,0,0.05,0.06,0.29,NaN,31,NaN,NaN,NaN,1436,1536,1,0.40,0.12,0.52
7,A3C,522927.552,4782231.439,1,10,20,0.1,0.05,0.20,NaN,23,NaN,NaN,NaN,1541,1746,1,0.37,NaN,NaN
7,A4C,522927.552,4782231.439,1,20,30,0.1,0.03,0.21,NaN,20,NaN,NaN,NaN,NaN,1711,1,0.32,NaN,NaN
7,A5C,522927.552,4782231.439,1,30,40,0.1,0.05,0.20,NaN,20,NaN,NaN,NaN,NaN,NaN,1,0.33,NaN,NaN
7,A6C,522927.552,4782231.439,1,40,50,0.1,0.06,0.22,NaN,20,NaN,NaN,NaN,NaN,1510,1,0.33,0.01,0.34
7,B1,522930.002,4782231.797,1,0,5,0.05,0.15,1.90,NaN,14,NaN,NaN,NaN,NaN,839,1,0.99,NaN,0.99
7,B2,522930.002,4782231.797,1,5,0,0.05,0.07,0.67,NaN,20,NaN,NaN,NaN,NaN,1177,1,0.53,0.27,0.80
7,B3,522930.002,4782231.797,1,10,20,0.1,0.06,0.37,NaN,30,NaN,NaN,NaN,NaN,1425,1,0.32,0.10,0.42
7,B4,522930.002,4782231.797,1,20,30,0.1,0.05,0.28,NaN,32,NaN,NaN,NaN,NaN,1554,1,0.37,0.11,0.48
7,C1,522941.523,4782236.739,1,0,5,0.05,0.06,0.45,NaN,42,NaN,NaN,NaN,NaN,1337,1,0.41,0.16,0.57
7,C2,522941.523,4782236.739,1,5,0,0.05,0.06,0.39,NaN,18,NaN,NaN,NaN,NaN,1403,1,0.35,0.09,0.44
7,C3,522941.523,4782236.739,1,10,20,0.1,0.05,0.30,NaN,25,NaN,NaN,NaN,NaN,1531,1,0.37,0.10,0.46
7,C4,522941.523,4782236.739,1,20,30,0.1,0.06,0.29,NaN,35,NaN,NaN,NaN,NaN,1550,1,0.19,0.01,0.20
7,D1,522940.87,4782235.613,1,0,5,0.05,0.06,0.61,NaN,10,NaN,NaN,NaN,NaN,1209,1,0.60,0.15,0.75
7,D2,522940.87,4782235.613,1,5,0,0.05,0.08,0.37,NaN,22,NaN,NaN,NaN,NaN,1424,1,0.44,0.10,0.54
7,D3,522940.87,4782235.613,1,10,20,0.1,0.02,0.34,NaN,28,NaN,NaN,NaN,NaN,1463,1,0.32,0.29,0.61
7,D4,522940.87,4782235.613,1,20,30,0.1,0.04,0.27,NaN,29,NaN,NaN,NaN,NaN,1572,1,0.31,0.12,0.43
7,E1,522936.665,4782217.038,1,0,5,0.05,0.06,0.49,NaN,53,NaN,NaN,NaN,NaN,1298,1,0.42,0.63,1.05
7,E2,522936.665,4782217.038,1,5,0,0.05,0.05,0.31,NaN,22,NaN,NaN,NaN,NaN,1514,1,0.40,0.32,0.72
7,E3,522936.665,4782217.038,1,10,20,0.1,0.07,0.45,NaN,23,NaN,NaN,NaN,NaN,1333,1,0.44,0.50,0.94
7,E4,522936.665,4782217.038,1,20,30,0.1,0.09,0.43,NaN,26,NaN,NaN,NaN,NaN,1356,1,0.33,0.58,0.91
7,F1,522937.27,4782216.416,1,0,5,0.05,0.09,0.81,NaN,44,NaN,NaN,NaN,NaN,1106,1,0.56,3.56,4.11
7,F2,522937.27,4782216.416,1,5,0,0.05,0.06,0.58,NaN,50,NaN,NaN,NaN,NaN,1230,1,0.29,1.32,1.61
7,F3,522937.27,4782216.416,1,10,20,0.1,0.09,0.70,NaN,28,NaN,NaN,NaN,NaN,1161,1,0.34,1.18,1.52
7,F4,522937.27,4782216.416,1,20,30,0.1,0.08,0.70,NaN,40,NaN,NaN,NaN,NaN,1157,1,0.40,0.89,1.29
7,G1,522915.977,4782230.329,1,0,5,0.05,0.05,0.37,NaN,25,NaN,NaN,NaN,NaN,1422,1,0.55,0.79,1.33
7,G2,522915.977,4782230.329,1,5,0,0.05,0.05,0.34,NaN,21,NaN,NaN,NaN,NaN,1470,1,0.48,0.44,0.92
7,G3,522915.977,4782230.329,1,10,20,0.1,0.05,0.26,NaN,21,NaN,NaN,NaN,NaN,1597,1,0.32,0.27,0.59
7,G4,522915.977,4782230.329,1,20,30,0.1,0.05,0.39,NaN,28,NaN,NaN,NaN,NaN,1397,1,0.35,0.39,0.74
7,H1,522917.089,4782230.028,1,0,5,0.05,0.10,0.84,NaN,26,NaN,NaN,NaN,NaN,1091,1,0.55,3.55,4.10
7,H2,522917.089,4782230.028,1,5,0,0.05,0.16,1.58,NaN,24,NaN,NaN,NaN,NaN,890,1,3.16,12.19,15.36
7,H3,522917.089,4782230.028,1,10,20,0.1,0.07,0.58,NaN,22,NaN,NaN,NaN,NaN,1232,1,0.79,0.23,1.02
7,H4,522917.089,4782230.028,1,20,30,0.1,0.08,0.54,NaN,32,NaN,NaN,NaN,NaN,1264,1,0.64,0.13,0.76
7,I1,522918.615,4782254.996,1,0,5,0.05,0.11,1.14,NaN,17,NaN,NaN,NaN,NaN,989,1,0.70,0.19,0.89
7,I2,522918.615,4782254.996,1,5,0,0.05,0.10,0.91,NaN,17,NaN,NaN,NaN,NaN,1065,1,0.68,0.15,0.83
7,I3,522918.615,4782254.996,1,10,20,0.1,0.08,0.76,NaN,13,NaN,NaN,NaN,NaN,1128,1,0.52,0.23,0.75
7,I4,522918.615,4782254.996,1,20,30,0.1,0.09,0.56,NaN,33,NaN,NaN,NaN,NaN,1245,1,0.33,0.12,0.45
7,J1,522919.682,4782254.376,1,0,5,0.05,0.06,0.51,NaN,39,NaN,NaN,NaN,NaN,1284,1,0.46,0.11,0.57
7,J2,522919.682,4782254.376,1,5,0,0.05,0.06,0.41,NaN,23,NaN,NaN,NaN,NaN,1380,1,0.37,0.11,0.48
